nume_normalizat,nume,anexe,regimuri,coduri,nr_randuri,randuri
asistent social,Asistent social,II|VIII,funcționar public,21.00303001.01.1|21.00303002.01.1|21.00303003.01.1|21.00303004.01.1|81.10105009.04.1|81.10105009.04.2|81.10105009.04.3|81.10105009.04.4|81.20109001.03.1|81.20109001.03.2|81.20109001.03.3|81.20109001.03.4,28,II CI 3!15|II CI 3!16|II CI 3!17|II CI 3!18|VIII_CI_A_1!50|VIII_CI_A_1!51|VIII_CI_A_1!52|VIII_CI_A_1!53|VIII_CI_A_2!33|VIII_CI_A_2!34|VIII_CI_A_2!35|VIII_CI_A_2!36|VIII CI A 3 (local1)!41|VIII CI A 3 (local1)!42|VIII CI A 3 (local1)!43|VIII CI A 3 (local1)!44|VIII CI A 3 (local2)!48|VIII CI A 3 (local2)!49|VIII CI A 3 (local2)!50|VIII CI A 3 (local2)!51|VIII CI A 3 (local3)!48|VIII CI A 3 (local3)!49|VIII CI A 3 (local3)!50|VIII CI A 3 (local3)!51|VIII CI A 3 (local4)!48|VIII CI A 3 (local4)!49|VIII CI A 3 (local4)!50|VIII CI A 3 (local4)!51
asistent stagiar,Asistent stagiar,I,,12.00201009.01.1,1,I CII!29
asistent universitar,Asistent universitar,I,,11.00401004.01.1|11.00401004.01.2|11.00401004.01.3|11.00401004.01.4|11.00401004.01.5|11.00401004.01.6|11.00401004.01.7,7,I CI 4-5-6!25|I CI 4-5-6!26|I CI 4-5-6!27|I CI 4-5-6!28|I CI 4-5-6!29|I CI 4-5-6!30|I CI 4-5-6!31
asistent veterinar,asistent veterinar,VIII,personal contractual,,4,VIII CII G!16|VIII CII G!17|VIII CII G!18|VIII CII G!19
asistent veterinar laborant tehnician referent,"Asistent veterinar, laborant, tehnician* , referent",VIII,personal contractual,82.40124013.04.1|82.40124014.04.1|82.40124015.04.1|82.40124016.04.1,4,VIII CII A 1!236|VIII CII A 1!237|VIII CII A 1!238|VIII CII A 1!239
asistentul judecatorului,Asistentul judecatorului,V,,,1,V CII!41
aspirant,aspirant,VI,,,1,VI_Armata!22
atasat agent consular,"Ataşat, agent consular",IV,,42.00100008.02.1,1,IV CI + CII!24
atasat economic,Ataşat economic,VIII,personal contractual,82.40104004.01.1,1,VIII CII A 1!56
auditor,Auditor,IV|VIII,funcționar public|personal contractual,81.10104001.01.1|81.10104001.01.2|81.10104001.01.3|81.20108001.01.1|81.20108001.01.2|81.20108001.01.3|81.30111001.01.1|81.30111001.01.2|81.30111001.01.3|82.40102001.01.1|82.40102001.01.2|82.40102001.01.3|82.40108004.01.1|82.40202001.01.1|82.40202001.01.2|82.50126001.01.1|82.50126001.01.2|82.50126001.01.3|82.60128001.01.1|82.60128001.01.2|82.60128001.01.3,42,IV CVII!16|IV CVII!17|IV CVII!18|VIII_CI_A_1!22|VIII_CI_A_1!23|VIII_CI_A_1!24|VIII_CI_A_2!17|VIII_CI_A_2!18|VIII_CI_A_2!19|VIII CI A 3 (local1)!21|VIII CI A 3 (local1)!22|VIII CI A 3 (local1)!23|VIII CI A 3 (local2)!20|VIII CI A 3 (local2)!21|VIII CI A 3 (local2)!22|VIII CI A 3 (local3)!20|VIII CI A 3 (local3)!21|VIII CI A 3 (local3)!22|VIII CI A 3 (local4)!20|VIII CI A 3 (local4)!21|VIII CI A 3 (local4)!22|VIII CII A 1!22|VIII CII A 1!23|VIII CII A 1!24|VIII CII A 1!95|VIII CII A 2!18|VIII CII A 2!19|VIII CII A 2!20|VIII CII A 3_local1!16|VIII CII A 3_local1!17|VIII CII A 3_local1!18|VIII CII A 3_local2!16|VIII CII A 3_local2!17|VIII CII A 3_local2!18|VIII CII A 3_local3!17|VIII CII A 3_local3!18|VIII CII A 3_local3!19|VIII CII A 3_local4!18|VIII CII A 3_local4!19|VIII CII A 3_local4!20
auditor de justitie,Auditor de justiţie,V,,51.00101006.01.1|51.00101007.01.1,2,V CI A+B!27|V CI A+B!28
