nume_normalizat,nume,anexe,regimuri,coduri,nr_randuri,randuri
radiologie,radiologie,II,,21.00201032.27.1,1,II CI 2!36
radioterapie si radiodiagnostic,radioterapie şi radiodiagnostic,II,,21.00201032.27.1,1,II CI 2!36
rector,Rector,I,,11.00101001.01.2,1,I CI 1-3!7
redactor,Redactor,IV,,,4,IV CVII!27|IV CVII!28|IV CVII!29|IV CVII!30
redactor de rubrica redactor lector publicist comentator tehnoredactor corespondent in strainatate,"Redactor de rubrică, redactor, lector, publicist comentator, tehnoredactor, corespondent în străinătate",III,,34.00201001.06.1|34.00201001.06.2|34.00201001.06.3|34.00201001.06.4,4,III CIV!12|III CIV!13|III CIV!14|III CIV!15
redactor secretar de redactie,"Redactor, secretar de redacţie",III,,34.00201003.02.1|34.00201003.02.2|34.00201003.02.3|34.00201003.02.4,4,III CIV!20|III CIV!21|III CIV!22|III CIV!23
redactor secretar tehnic de redactie documentarist traducator caricaturist desenator artistic corector tehnoredactor,"Redactor, secretar (tehnic) de redacţie, documentarist, traducător, caricaturist, desenator artistic, corector, tehnoredactor",III,,34.00201004.08.1|34.00201004.08.2|34.00201004.08.3|34.00201004.08.4,4,III CIV!24|III CIV!25|III CIV!26|III CIV!27
redactor sef,redactor șef,VIII,personal contractual,82.40201004.05.2,1,VIII CII B!12
redactor sef adjunct,Redactor-şef adjunct,III|VIII,personal contractual,34.00101002.01.2|82.40201005.07.2,2,III CIV!10|VIII CII B!13
referent,Referent,III|IV|V|VIII,funcționar public|personal contractual,35.00201001.01.1|35.00201001.01.2|35.00201001.01.3|35.00201002.01.1|35.00201002.01.2|35.00201002.01.3|35.00201003.01.1|35.00201003.01.2|35.00201003.01.3|35.00201004.01.1|35.00201004.01.2|35.00201004.01.3|56.00201013.02.1|56.00201014.02.1|56.00201015.02.1|56.00201016.02.1|81.10104004.01.1|81.10104004.01.2|81.10104004.01.3|81.10104004.01.4|81.10105005.03.1|81.10105006.03.1|81.10105007.03.1|81.20108004.01.1|81.20108004.01.2|81.20108004.01.3|81.20108004.01.4|81.30111004.01.1|81.30111004.01.2|81.30111004.01.3|81.30111004.01.4|82.40108013.01.1|82.40108013.01.2|82.40108013.01.3|82.40108013.01.4|82.40202004.05.1|82.40202004.05.2|82.40202004.05.3|82.40202004.05.4|82.40202006.04.1|82.40202006.04.2|82.40202006.04.3|82.40202006.04.4|82.40402003.02.1|82.40402003.02.2|82.40402003.02.3|82.40402003.02.4|82.50126004.09.1|82.50126004.09.2|82.50126004.09.3|82.50126004.09.4|82.50126005.03.1|82.50126005.03.2|82.50126005.03.3|82.50126005.03.4|82.60128004.09.1|82.60128004.09.2|82.60128004.09.3|82.60128004.09.4|82.60128005.04.1|82.60128005.04.2|82.60128005.04.3|82.60128005.04.4,119,III CV!14|III CV!15|III CV!16|III CV!17|III CV!18|III CV!19|III CV!20|III CV!21|III CV!22|III CV!23|III CV!24|III CV!25|III CV!34|III CV!35|III CV!36|III CV!37|III CV!38|III CV!39|III CV!40|III CV!41|III CV!42|III CV!43|III CV!44|III CV!45|IV CVII!31|IV CVII!32|IV CVII!33|IV CVII!34|IV CVII!39|IV CVII!40|IV CVII!41|IV CVII!42|V CVInef!24|V CVInef!25|V CVInef!26|V CVInef!27|VIII_CI_A_1!37|VIII_CI_A_1!38|VIII_CI_A_1!39|VIII_CI_A_1!40
referent asistent,Referent asistent,V,,56.00201017.01.1|56.00201018.01.1|56.00201019.01.1|56.00201020.01.1,4,V CVInef!28|V CVInef!29|V CVInef!30|V CVInef!31
referent casier,referent casier,VIII,personal contractual,82.60128005.04.1|82.60128005.04.2|82.60128005.04.3|82.60128005.04.4,16,VIII CII A 3_local1!31|VIII CII A 3_local1!32|VIII CII A 3_local1!33|VIII CII A 3_local1!34|VIII CII A 3_local2!31|VIII CII A 3_local2!32|VIII CII A 3_local2!33|VIII CII A 3_local2!34|VIII CII A 3_local3!32|VIII CII A 3_local3!33|VIII CII A 3_local3!34|VIII CII A 3_local3!35|VIII CII A 3_local4!33|VIII CII A 3_local4!34|VIII CII A 3_local4!35|VIII CII A 3_local4!36
referent casier ia,referent casier IA,VIII,personal contractual,82.50126005.03.1|82.50126005.03.2|82.50126005.03.3|82.50126005.03.4,4,VIII CII A 2!33|VIII CII A 2!34|VIII CII A 2!35|VIII CII A 2!36
referent de securitate a informatiilor,Referent de securitate a informaţiilor,VIII,personal contractual,82.40123002.01.1|82.40123003.01.1,2,VIII CII A 1!219|VIII CII A 1!220
referent de specialitate,Referent de specialitate,VIII,funcționar public|personal contractual,81.10104003.01.1|81.10104003.01.2|81.10104003.01.3|81.10104003.01.4|81.20108003.01.1|81.20108003.01.2|81.20108003.01.3|81.20108003.01.4|81.20109004.01.1|81.20109004.01.2|81.20109004.01.3|81.20109004.01.4|81.30111003.01.1|81.30111003.01.2|81.30111003.01.3|81.30111003.01.4|82.40202002.04.1|82.40202002.04.2|82.40202002.04.3|82.40202002.04.4|82.50126002.07.1|82.50126002.07.2|82.50126002.07.3|82.50126002.07.4|82.60128002.07.1|82.60128002.07.2|82.60128002.07.3|82.60128002.07.4,52,VIII_CI_A_1!33|VIII_CI_A_1!34|VIII_CI_A_1!35|VIII_CI_A_1!36|VIII_CI_A_2!24|VIII_CI_A_2!25|VIII_CI_A_2!26|VIII_CI_A_2!27|VIII_CI_A_2!45|VIII_CI_A_2!46|VIII_CI_A_2!47|VIII_CI_A_2!48|VIII CI A 3 (local1)!32|VIII CI A 3 (local1)!33|VIII CI A 3 (local1)!34|VIII CI A 3 (local1)!35|VIII CI A 3 (local2)!31|VIII CI A 3 (local2)!32|VIII CI A 3 (local2)!33|VIII CI A 3 (local2)!34|VIII CI A 3 (local3)!31|VIII CI A 3 (local3)!32|VIII CI A 3 (local3)!33|VIII CI A 3 (local3)!34|VIII CI A 3 (local4)!31|VIII CI A 3 (local4)!32|VIII CI A 3 (local4)!33|VIII CI A 3 (local4)!34|VIII CII A 2!21|VIII CII A 2!22|VIII CII A 2!23|VIII CII A 2!24|VIII CII A 3_local1!19|VIII CII A 3_local1!20|VIII CII A 3_local1!21|VIII CII A 3_local1!22|VIII CII A 3_local2!19|VIII CII A 3_local2!20|VIII CII A 3_local2!21|VIII CII A 3_local2!22
referent de specialitate inspector casier,"referent de specialitate, inspector casier",VIII,personal contractual,82.40102002.07.1|82.40102002.07.2|82.40102002.07.3|82.40102002.07.4,4,VIII CII A 1!25|VIII CII A 1!26|VIII CII A 1!27|VIII CII A 1!28
referent inspector referent casier,"Referent, inspector, referent casier",VIII,personal contractual,82.40102005.03.1|82.40102005.03.2|82.40102005.03.3|82.40102005.03.4,4,VIII CII A 1!37|VIII CII A 1!38|VIII CII A 1!39|VIII CII A 1!40
referent relatii referent comunicatii referent protectie curier diplomatic i,"Referent relaţii, referent comunicaţii, referent protecţie, curier diplomatic I",IV,,42.00200005.04.1|42.00200007.04.1,2,IV CI + CII!30|IV CI + CII!32
referent relatii referent comunicatii referent protectie curier diplomatic i referent cabinet,"Referent relaţii, referent comunicaţii, referent protecţie,curier diplomatic I, referent cabinet",IV,,42.00200004.05.1|42.00200006.05.1,2,IV CI + CII!29|IV CI + CII!31
referent relatii referent comunicatii referent protectie curier diplomatic ii,"Referent relaţii, referent comunicaţii, referent protecţie, curier diplomatic II",IV,,42.00200008.04.1|42.00200009.04.1|42.00200010.04.1|42.00200011.04.1,4,IV CI + CII!33|IV CI + CII!34|IV CI + CII!35|IV CI + CII!36
referent specialist,Referent specialist,V,,56.00201009.01.1|56.00201010.01.1|56.00201011.01.1|56.00201012.01.1,4,V CVInef!20|V CVInef!21|V CVInef!22|V CVInef!23
referent sportiv,Referent sportiv,VIII,personal contractual,82.40403002.01.1|82.40403002.01.2|82.40403002.01.3,3,VIII CII D!26|VIII CII D!27|VIII CII D!28
referent transmitere,Referent transmitere,VIII,personal contractual,82.40104005.01.1|82.40104005.01.2|82.40104005.01.3|82.40104005.01.4,4,VIII CII A 1!57|VIII CII A 1!58|VIII CII A 1!59|VIII CII A 1!60
registrator coordonator,Registrator coordonator,VIII,personal contractual,,1,VIII CII A 1!84
registrator de carte funciara,Registrator de carte funciară,VIII,personal contractual,82.40108005.01.1|82.40108005.01.2|82.40108005.01.3,3,VIII CII A 1!96|VIII CII A 1!97|VIII CII A 1!98
registrator de registru comertului,Registrator de registru comerțului,V,,,2,V CVInef!14|V CVInef!15
registrator medical,registrator medical,II,,21.00201050.02.1|21.00201051.02.1|21.00201052.02.1,3,II CI 2!54|II CI 2!55|II CI 2!56
registrator sef,Registrator șef,VIII,personal contractual,82.40107006.01.2,1,VIII CII A 1!83
restaurator,restaurator,I,,11.00601001.02.1|11.00601001.02.2|11.00601001.02.3|11.00601001.02.4|11.00601007.02.1|11.00601007.02.2|11.00601007.02.3|11.00601007.02.4|11.00601013.02.1|11.00601013.02.2|11.00601013.02.3|11.00601013.02.4,12,I CI 4-5-6!148|I CI 4-5-6!149|I CI 4-5-6!150|I CI 4-5-6!151|I CI 4-5-6!180|I CI 4-5-6!181|I CI 4-5-6!182|I CI 4-5-6!183|I CI 4-5-6!208|I CI 4-5-6!209|I CI 4-5-6!210|I CI 4-5-6!211
restaurator conservator trezorier redactor tehnoredactor gestionar custode taxidermist desenator artistic fotograf operator video topograf documentarist grafician,"Restaurator, conservator, trezorier, redactor, tehnoredactor, gestionar custode, taxidermist, desenator artistic, fotograf, operator video, topograf, documentarist, grafician",III,,33.00201007.13.1|33.00201007.13.2|33.00201007.13.3|33.00201007.13.4|33.00202007.13.1|33.00202007.13.2|33.00202007.13.3|33.00202007.13.4,8,III CIII!29|III CIII!30|III CIII!31|III CIII!32|III CIII!59|III CIII!60|III CIII!61|III CIII!62
revizor contabil,revizor contabil,VIII,personal contractual,82.50126002.07.1|82.50126002.07.2|82.50126002.07.3|82.50126002.07.4|82.60128002.07.1|82.60128002.07.2|82.60128002.07.3|82.60128002.07.4,20,VIII CII A 2!21|VIII CII A 2!22|VIII CII A 2!23|VIII CII A 2!24|VIII CII A 3_local1!19|VIII CII A 3_local1!20|VIII CII A 3_local1!21|VIII CII A 3_local1!22|VIII CII A 3_local2!19|VIII CII A 3_local2!20|VIII CII A 3_local2!21|VIII CII A 3_local2!22|VIII CII A 3_local3!20|VIII CII A 3_local3!21|VIII CII A 3_local3!22|VIII CII A 3_local3!23|VIII CII A 3_local4!21|VIII CII A 3_local4!22|VIII CII A 3_local4!23|VIII CII A 3_local4!24
salvare si prim ajutor,salvare şi prim ajutor,VIII,personal contractual,82.60130003.02.1,4,VIII CII A 3_local1!71|VIII CII A 3_local2!71|VIII CII A 3_local3!72|VIII CII A 3_local4!73
salvator montan,Salvator montan,VIII,personal contractual,82.60129001.01.1|82.60129001.01.2|82.60129001.01.3,12,VIII CII A 3_local1!65|VIII CII A 3_local1!66|VIII CII A 3_local1!67|VIII CII A 3_local2!65|VIII CII A 3_local2!66|VIII CII A 3_local2!67|VIII CII A 3_local3!66|VIII CII A 3_local3!67|VIII CII A 3_local3!68|VIII CII A 3_local4!67|VIII CII A 3_local4!68|VIII CII A 3_local4!69
scafandru autonom,Scafandru autonom,VIII,personal contractual,,1,VIII CII E!42
scafandru debutant,Scafandru debutant,VIII,personal contractual,,1,VIII CII E!44
scafandru greu,Scafandru greu,VIII,personal contractual,,1,VIII CII E!43
scafandru salvator,Scafandru salvator,VIII,personal contractual,,1,VIII CII E!41
scenografie secretar platou,"scenografie, secretar platou",III,,31.00201006.05.1|31.00201006.05.2|31.00201006.05.3|31.00201006.05.4|31.00202006.05.1|31.00202006.05.2|31.00202006.05.3|31.00202006.05.4,8,III CI !38|III CI !39|III CI !40|III CI !41|III CI !93|III CI !94|III CI !95|III CI !96
secretar,Secretar,VIII,personal contractual,82.40302002.01.1|82.40302002.01.2|82.60128008.01.1|82.60128008.01.2,10,VIII CII A 3_local1!41|VIII CII A 3_local1!42|VIII CII A 3_local2!41|VIII CII A 3_local2!42|VIII CII A 3_local3!42|VIII CII A 3_local3!43|VIII CII A 3_local4!43|VIII CII A 3_local4!44|VIII CII C!15|VIII CII C!16
secretar al consiliului,Secretar al Consiliului,IX,,,1,IX B!52
secretar cabinet secretar dactilograf curier personal,"Secretar cabinet, secretar dactilograf, curier personal",VIII,personal contractual,82.40112009.03.1,1,VIII CII A 1!155
secretar dactilograf,secretar-dactilograf,VIII,personal contractual,82.40302001.03.1|82.40302001.03.2|82.40302001.03.3|82.60128007.03.1|82.60128007.03.2|82.60128007.03.3,15,VIII CII A 3_local1!38|VIII CII A 3_local1!39|VIII CII A 3_local1!40|VIII CII A 3_local2!38|VIII CII A 3_local2!39|VIII CII A 3_local2!40|VIII CII A 3_local3!39|VIII CII A 3_local3!40|VIII CII A 3_local3!41|VIII CII A 3_local4!40|VIII CII A 3_local4!41|VIII CII A 3_local4!42|VIII CII C!12|VIII CII C!13|VIII CII C!14
secretar dactilograf laborator expertize criminalistice,Secretar – dactilograf laborator expertize criminalistice,V,,55.00101011.01.1|55.00101011.01.2|55.00101011.01.3|55.00101011.01.4|55.00101011.01.5,5,V CV!39|V CV!40|V CV!41|V CV!42|V CV!43
secretar dactilograf laborator expertize criminalistice debutant,Secretar – dactilograf laborator expertize criminalistice debutant,V,,55.00101012.01.1,1,V CV!44
secretar de stat,Secretar de stat,IX,,,1,IX B!13
secretar de stat sef al departamentului ordine si siguranta publica,secretar de stat - şef al Departamentului Ordine şi Siguranţă Publică,VI,,,1,VI_Armata!10
secretar economic,Secretar economic,VIII,personal contractual,82.40104003.01.1|82.40104003.01.2|82.40104003.01.3,3,VIII CII A 1!53|VIII CII A 1!54|VIII CII A 1!55
secretar federatie,Secretar federaţie,VIII,personal contractual,82.40401001.04.1|82.40401001.04.2|82.40401001.04.3|82.40401001.04.4|82.40401001.04.5,5,VIII CII D!9|VIII CII D!10|VIII CII D!11|VIII CII D!12|VIII CII D!13
secretar general,Secretar general,IV|IX|VII|VIII,funcționar public|personal contractual,81.10101001.01.2|81.30110001.01.2|82.40101001.01.2|82.40120001.01.1,10,IV CVII!10|VII CI !44|VIII_CI_A_1!9|VIII CI A 3 (local1)!10|VIII CI A 3 (local2)!9|VIII CI A 3 (local3)!9|VIII CI A 3 (local4)!9|VIII CII A 1!10|VIII CII A 1!199|IX B!18
secretar general adjunct,Secretar general adjunct,IV|VIII,funcționar public|personal contractual,81.10101002.02.2|82.40101002.01.2,3,IV CVII!11|VIII_CI_A_1!10|VIII CII A 1!11
secretar general adjunct al guvernului,Secretar general adjunct al Guvernului,IX,,,1,IX B!36
secretar general adjunct cu rang de ministru plenipotentiar,Secretar general adjunct cu rang de ministru plenipotenţiar,IV,,41.00100002.01.2,1,IV CI + CII!9
secretar general al guvernului,Secretar general al Guvernului,IX,,,1,IX B!35
secretar general cu rang de ambasador,Secretar general cu rang de ambasador,IV,,41.00100001.01.2,1,IV CI + CII!8
secretar general federatie,secretar general federație,VIII,personal contractual,82.40201006.10.2,1,VIII CII B!14
secretar gradul i,Secretar gradul I,V,,54.00101004.01.1|54.00101004.01.2|54.00101004.01.3|54.00101004.01.4|54.00101004.01.5,5,V CIV!24|V CIV!25|V CIV!26|V CIV!27|V CIV!28
secretar i consul,"Secretar I, consul",IV,,42.00100005.02.1,1,IV CI + CII!21
secretar ii viceconsul,"Secretar II, viceconsul",IV,,42.00100006.02.1,1,IV CI + CII!22
secretar iii,Secretar III,IV,,42.00100007.01.1,1,IV CI + CII!23
secretar institutie,Secretar institutie,I,,11.00601003.01.1|11.00601003.01.2|11.00601003.01.3|11.00601003.01.4|11.00601009.01.1|11.00601009.01.2|11.00601009.01.3|11.00601009.01.4|11.00601015.01.1|11.00601015.01.2|11.00601015.01.3|11.00601015.01.4,12,I CI 4-5-6!156|I CI 4-5-6!157|I CI 4-5-6!158|I CI 4-5-6!159|I CI 4-5-6!188|I CI 4-5-6!189|I CI 4-5-6!190|I CI 4-5-6!191|I CI 4-5-6!216|I CI 4-5-6!217|I CI 4-5-6!218|I CI 4-5-6!219
secretar sculptor papusi artist plastic grafician sef orchestra,"Secretar , sculptor păpuși, artist plastic, grafician, șef orchestră",III,,31.00201004.05.1|31.00201004.05.2|31.00201004.05.3|31.00201004.05.4|31.00202004.05.1|31.00202004.05.2|31.00202004.05.3|31.00202004.05.4,8,III CI !30|III CI !31|III CI !32|III CI !33|III CI !85|III CI !86|III CI !87|III CI !88
secretar sef facultate,Secretar-şef facultate,I,,11.00301004.01.2,1,I CI 1-3!26
secretar sef unitate de invatamant nivel maxim,Secretar- şef unitate de învăţământ - nivel maxim,I,,11.00302002.01.2,1,I CI 1-3!32
secretar sef universitate,Secretar-şef universitate,I,,11.00301003.01.2,1,I CI 1-3!25
secretar stiintific centru de cercetare,Secretar ştiinţific centru de cercetare,I,,12.00101008.02.2,1,I CII!17
secretar stiintific institut de cercetare,Secretar ştiinţific institut de cercetare,I,,12.00101006.02.2,1,I CII!15
secretar stiintific sectie asas,secretar științific secție ASAS,I,,12.00101006.02.2,1,I CII!15
secretar stiintific statiune de cercetare,secretar științific stațiune de cercetare,I,,12.00101008.02.2,1,I CII!17
secretar superior,secretar superior,VIII,personal contractual,82.50126004.09.1|82.50126004.09.2|82.50126004.09.3|82.50126004.09.4|82.60128004.09.1|82.60128004.09.2|82.60128004.09.3|82.60128004.09.4,20,VIII CII A 2!29|VIII CII A 2!30|VIII CII A 2!31|VIII CII A 2!32|VIII CII A 3_local1!27|VIII CII A 3_local1!28|VIII CII A 3_local1!29|VIII CII A 3_local1!30|VIII CII A 3_local2!27|VIII CII A 3_local2!28|VIII CII A 3_local2!29|VIII CII A 3_local2!30|VIII CII A 3_local3!28|VIII CII A 3_local3!29|VIII CII A 3_local3!30|VIII CII A 3_local3!31|VIII CII A 3_local4!29|VIII CII A 3_local4!30|VIII CII A 3_local4!31|VIII CII A 3_local4!32
secretarii comisiilor permanente ale senatului si camerei deputatilor,Secretarii comisiilor permanente ale Senatului şi Camerei Deputaţilor,IX,,,1,IX A!18
secretarii si chestorii senatului si ai camerei deputatilor,Secretarii şi Chestorii Senatului şi ai Camerei Deputaţilor,IX,,,1,IX A!14
sectie sportiva,secție sportivă,VIII,personal contractual,82.40201008.03.2,1,VIII CII B!16
sef administratie,şef administraţie,VIII,funcționar public,81.30110005.05.2,4,VIII CI A 3 (local1)!14|VIII CI A 3 (local2)!13|VIII CI A 3 (local3)!13|VIII CI A 3 (local4)!13
sef administratie adjunct,şef administraţie adjunct,VIII,funcționar public,81.30110006.08.2,4,VIII CI A 3 (local1)!15|VIII CI A 3 (local2)!14|VIII CI A 3 (local3)!14|VIII CI A 3 (local4)!14
sef administratie financiara,şef administraţie financiară,VIII,funcționar public,81.10103003.09.2,1,VIII_CI_A_1!17
sef administratie financiara adjunct,şef administraţie financiară adjunct,VIII,funcționar public,81.10103004.12.2,1,VIII_CI_A_1!18
sef agentie publicitate administrator publicatii editura reporter fotoreporter corespondent local secretar tehnic de redactie documentarist traducator caricaturist desenator artistic corector,"Şef agenţie publicitate, administrator (publicaţii, editură), reporter (fotoreporter, corespondent local), secretar (tehnic) de redacţie, documentarist, traducător, caricaturist, desenator artistic, corector",III,,34.00201002.09.1|34.00201002.09.2|34.00201002.09.3|34.00201002.09.4,4,III CIV!16|III CIV!17|III CIV!18|III CIV!19
sef atelier,Șef atelier,III|VII|VIII,personal contractual,31.00101008.01.2|31.00102009.01.2|32.00101008.01.2|32.00102008.01.2|33.00101008.01.2|33.00102008.01.2|35.00101005.01.2|82.40201006.10.2|82.50125006.04.2|82.60127006.04.2,16,III CI !15|III CI !71|III CII!16|III CII!46|III CIII!14|III CIII!44|III CV!12|III CV!32|VII CI !16|VII CI !31|VIII CII A 2!16|VIII CII A 3_local1!14|VIII CII A 3_local2!14|VIII CII A 3_local3!15|VIII CII A 3_local4!16|VIII CII B!14
sef atelier scoala,Şef atelier-şcoală,I,,11.00601019.03.1|11.00601019.03.2|11.00601019.03.3|11.00601019.03.4,4,I CI 4-5-6!228|I CI 4-5-6!229|I CI 4-5-6!230|I CI 4-5-6!231
sef baza experimentala,șef bază experimentală,VIII,personal contractual,82.40201006.10.2,1,VIII CII B!14
sef baza sportiva,șef bază sportivă,VIII,personal contractual,82.40201008.03.2,1,VIII CII B!16
sef birou,Şef birou,VIII,funcționar public|personal contractual,81.10103006.02.2|82.40201006.10.2,2,VIII_CI_A_1!20|VIII CII B!14
sef birou demonstratii aeriene,Şef birou demonstraţii aeriene,VIII,personal contractual,,1,VIII CII F!29
sef birou managementul calitatii,Şef birou managementul calităţii,VIII,personal contractual,,1,VIII CII F!27
sef birou piloti aeronave,Șef birou piloți aeronave,VIII,personal contractual,,1,VIII CII F!14
sef birou pregatire personal navigant,Șef birou pregătire personal navigant,VIII,personal contractual,,1,VIII CII F!29
sef birou proiecte si componente aeronautice,Şef birou proiecte şi componente aeronautice,VIII,personal contractual,,1,VIII CII F!21
sef birou securitate aeronautica,Şef birou securitate aeronautică,VIII,personal contractual,,1,VIII CII F!28
sef birou sef atelier sef laborator sef oficiu secretar general federatie,"Şef birou, șef atelier, șef laborator, șef oficiu, secretar general federație",VIII,personal contractual,82.40101009.05.2,1,VIII CII A 1!18
sef birou sef laborator sef oficiu sef atelier,"Şef birou, şef laborator, şef oficiu, șef atelier",III,,32.00101007.04.2|32.00102007.04.2|33.00101007.04.2|33.00102007.04.2,5,III CII!15|III CII!45|III CIII!13|III CIII!43|III CV!31
sef birou siguranta aeronautica,Şef birou siguranţă aeronautică,VIII,personal contractual,,1,VIII CII F!28
sef birou tehnic tehnologic,Şef birou tehnic tehnologic,VIII,personal contractual,,1,VIII CII F!21
sef birou vamal,şef birou vamal,VIII,funcționar public,81.10103004.12.2,1,VIII_CI_A_1!18
sef cabinet,Şef cabinet,VIII,funcționar public|personal contractual,81.10105004.01.1|81.10105005.03.1|81.10105006.03.1|81.10105007.03.1|82.40112005.01.1,5,VIII_CI_A_1!45|VIII_CI_A_1!46|VIII_CI_A_1!47|VIII_CI_A_1!48|VIII CII A 1!151
sef cabinet stenodactilograf referent,"Şef cabinet, stenodactilograf, referent",VIII,personal contractual,82.40112006.03.1|82.40112007.03.1|82.40112008.03.1,3,VIII CII A 1!152|VIII CII A 1!153|VIII CII A 1!154
sef centru,Şef centru,II|VIII,personal contractual,21.00302001.01.2|82.40201005.07.2,2,II CI 3!11|VIII CII B!13
sef compartiment,Șef compartiment,VII|VIII,funcționar public|personal contractual,81.10103003.09.2|81.20107003.06.2|81.30110005.05.2|82.40118004.01.1|82.50125003.04.2|82.60127003.04.2,13,VII CI !51|VIII_CI_A_1!17|VIII_CI_A_2!12|VIII CI A 3 (local1)!14|VIII CI A 3 (local2)!13|VIII CI A 3 (local3)!13|VIII CI A 3 (local4)!13|VIII CII A 1!189|VIII CII A 2!13|VIII CII A 3_local1!11|VIII CII A 3_local2!11|VIII CII A 3_local3!12|VIII CII A 3_local4!13
sef compartiment cercetare,Șef compartiment cercetare,I,,12.00101009.01.2,1,I CII!18
sef compartiment pentru prevenire,Şef compartiment pentru prevenire,VIII,personal contractual,82.60130002.01.1,4,VIII CII A 3_local1!70|VIII CII A 3_local2!70|VIII CII A 3_local3!71|VIII CII A 3_local4!72
sef complex sportiv,șef complex sportiv,VIII,personal contractual,82.40201008.03.2,1,VIII CII B!16
sef corp control comercial i,șef corp control comercial I,VIII,personal contractual,82.40201005.07.2,1,VIII CII B!13
sef corp control comercial ii,șef corp control comercial II,VIII,personal contractual,82.40201006.10.2,1,VIII CII B!14
sef de cabinet,Șef de cabinet,VII,,,1,VII CI !50
sef departament,Șef departament,VIII,funcționar public|personal contractual,81.10101003.01.2|82.40101003.01.2|82.40122001.01.2,3,VIII_CI_A_1!13|VIII CII A 1!12|VIII CII A 1!212
sef departament secretar al consiliului suprem de aparare a tarii,șef departament - secretar al Consiliului Suprem de Apărare a Țării,VI,,,1,VI_Armata!10
sef depozit,Șef depozit,VIII,personal contractual,82.40302004.01.1|82.40302004.01.2|82.60128010.01.1|82.60128010.01.2,10,VIII CII A 3_local1!45|VIII CII A 3_local1!46|VIII CII A 3_local2!45|VIII CII A 3_local2!46|VIII CII A 3_local3!46|VIII CII A 3_local3!47|VIII CII A 3_local4!47|VIII CII A 3_local4!48|VIII CII C!19|VIII CII C!20
sef echipa specializata,Şef echipă specializată,VIII,personal contractual,82.60130007.01.1,4,VIII CII A 3_local1!75|VIII CII A 3_local2!75|VIII CII A 3_local3!76|VIII CII A 3_local4!77
sef echipaj,Şef echipaj,VIII,personal contractual,,1,VIII CII E!36
sef electrician,şef electrician,VIII,personal contractual,,1,VIII CII E!19
sef ferma,șef fermă,VIII,personal contractual,82.40201006.10.2,1,VIII CII B!14
sef filiala,șef filială,VII|VIII,personal contractual,82.40201005.07.2,3,VII CI !15|VII CI !30|VIII CII B!13
sef formatie de lucru,șef formație de lucru,VII,,,1,VII CI !16
sef formatie interventie,Şef formaţie intervenţie,VIII,personal contractual,82.60130003.02.1,4,VIII CII A 3_local1!71|VIII CII A 3_local2!71|VIII CII A 3_local3!72|VIII CII A 3_local4!73
sef formatie muncitori,Şef formaţie muncitori,III|VIII,personal contractual,31.00101009.01.2|31.00102008.01.2|32.00101009.01.2|32.00102009.01.2|33.00101009.01.2|33.00102009.01.2|82.40301001.01.2,7,III CI !16|III CI !70|III CII!17|III CII!47|III CIII!15|III CIII!45|VIII CII C!10
sef formatie paza,Șef formație paza,VIII,personal contractual,82.40302006.02.1|82.60128012.02.1,5,VIII CII A 3_local1!49|VIII CII A 3_local2!49|VIII CII A 3_local3!50|VIII CII A 3_local4!51|VIII CII C!23
sef grup scafandri,Şef grup scafandri,VIII,personal contractual,,1,VIII CII E!8
sef grupa interventie,Şef grupă intervenţie,VIII,personal contractual,82.60130006.01.1,4,VIII CII A 3_local1!74|VIII CII A 3_local2!74|VIII CII A 3_local3!75|VIII CII A 3_local4!76
sef laborator,șef laborator,VIII,personal contractual,82.40201006.10.2|82.50125006.04.2|82.60127006.04.2,6,VIII CII A 2!16|VIII CII A 3_local1!14|VIII CII A 3_local2!14|VIII CII A 3_local3!15|VIII CII A 3_local4!16|VIII CII B!14
sef laborator interjudetean expertize criminalistice sef sector,"Şef laborator interjudeţean expertize criminalistice, şef sector",V,,55.00101003.02.1,1,V CV!10
sef laborator sef oficiu sef atelier,"Şef laborator, şef oficiu, șef atelier",III,,31.00101007.04.2|31.00102007.04.2|35.00101004.04.2,3,III CI !14|III CI !69|III CV!11
sef lucrari,Şef lucrări,I,,11.00401003.01.1|11.00401003.01.2|11.00401003.01.3|11.00401003.01.4|11.00401003.01.5|11.00401003.01.6,6,I CI 4-5-6!19|I CI 4-5-6!20|I CI 4-5-6!21|I CI 4-5-6!22|I CI 4-5-6!23|I CI 4-5-6!24
sef mecanic,Şef mecanic,VIII,personal contractual,,1,VIII CII E!14
sef mecanic fluvial,Şef mecanic fluvial,VIII,personal contractual,,1,VIII CII E!30
sef mecanic instructor,Şef mecanic instructor,VIII,personal contractual,,1,VIII CII E!11
sef mecanic maritim portuar,șef mecanic maritim-portuar,VIII,personal contractual,,1,VIII CII E!26
sef mecanic sub 3000 kw,Şef mecanic sub 3000 KW,VIII,personal contractual,,1,VIII CII E!17
sef oficiu,șef oficiu,VII|VIII,funcționar public|personal contractual,81.10103006.02.2|81.20107006.02.2|81.30110008.03.2|82.40201006.10.2|82.50125006.04.2|82.60127006.04.2,14,VII CI !16|VII CI !31|VIII_CI_A_1!20|VIII_CI_A_2!15|VIII CI A 3 (local1)!17|VIII CI A 3 (local2)!16|VIII CI A 3 (local3)!16|VIII CI A 3 (local4)!16|VIII CII A 2!16|VIII CII A 3_local1!14|VIII CII A 3_local2!14|VIII CII A 3_local3!15|VIII CII A 3_local4!16|VIII CII B!14
