version_id,anexa,sheet,source_row,cod,coduri,functie,sinonime,regim,tip_post,nivel_administrativ,banda_populatie,grad_treapta,vechime,studii,sectiune,coef_min,coef_max,coeficienti,coef_labels,needs_review
2026-07-17,I,I CI 4-5-6,37,11.00501001.01.5,11.00501001.01.5,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic I","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic I",,,,,,5-10 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,2.026372688477952,2.026372688477952,2.026372688,Gradația 0,0
2026-07-17,I,I CI 4-5-6,38,11.00501001.01.6,11.00501001.01.6,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic I","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic I",,,,,,1-5 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,1.968772688477952,1.968772688477952,1.968772688,Gradația 0,0
2026-07-17,I,I CI 4-5-6,39,11.00501002.01.1,11.00501002.01.1,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic II","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic II",,,,,,peste 25 de ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,2.1879999999999997,2.1879999999999997,2.188,Gradația 0,0
2026-07-17,I,I CI 4-5-6,40,11.00501002.01.2,11.00501002.01.2,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic II","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic II",,,,,,20-25 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,2.1026666666666665,2.1026666666666665,2.102666667,Gradația 0,0
2026-07-17,I,I CI 4-5-6,41,11.00501002.01.3,11.00501002.01.3,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic II","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic II",,,,,,15-20 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,2.0315555555555553,2.0315555555555553,2.031555556,Gradația 0,0
2026-07-17,I,I CI 4-5-6,42,11.00501002.01.4,11.00501002.01.4,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic II","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic II",,,,,,10-15 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,1.9995555555555553,1.9995555555555553,1.999555556,Gradația 0,0
2026-07-17,I,I CI 4-5-6,43,11.00501002.01.5,11.00501002.01.5,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic II","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic II",,,,,,5-10 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,1.9675555555555553,1.9675555555555553,1.967555556,Gradația 0,0
2026-07-17,I,I CI 4-5-6,44,11.00501002.01.6,11.00501002.01.6,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic II","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic II",,,,,,1-5 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,1.9355555555555553,1.9355555555555553,1.935555556,Gradația 0,0
2026-07-17,I,I CI 4-5-6,45,11.00501003.01.1,11.00501003.01.1,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic definitiv","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic definitiv",,,,,,peste 25 de ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,2.0599999999999996,2.0599999999999996,2.06,Gradația 0,0
2026-07-17,I,I CI 4-5-6,46,11.00501003.01.2,11.00501003.01.2,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic definitiv","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic definitiv",,,,,,20-25 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,2.0028571428571427,2.0028571428571427,2.002857143,Gradația 0,0
